"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
31.2,37.1,88.6,5,18500000,2,Вторичка,Смежно-изолированная,"2,8 м",,Без ремонта,На улицу,,2,2021.0,0,7,monolithBrick,Выборгский,Черная речка,59.997477,30.328838
17.6,12.4,46.5,14,9000000,1,Вторичка,,"2,58 м",1 раздельный,Косметический,,,3,2002.0,1,28,monolith,Московский,Парк Победы,59.87094,30.310631
17.5,5.5,31.3,4,8120000,1,Вторичка,,"2,5 м",1 совмещенный,Косметический,Во двор,,0,1962.0,0,5,brick,Василеостровский,Приморская,59.938383,30.240625
27.4,6.1,42.4,5,6300000,2,Вторичка,Изолированная,,1 раздельный,Косметический,,,0,1969.0,0,5,panel,Кировский,Проспект Ветеранов,59.82936,30.202492
45.5,15.5,80.4,20,14549999,3,Вторичка,Изолированная,"2,6 м",1 раздельный,Косметический,На улицу и двор,1 лоджия,2,2018.0,1,23,monolith,Невский,Пролетарская,59.862339,30.464467
0.0,0.0,40.4,3,14900000,1,Вторичка,,,1 совмещенный,Дизайнерский,На улицу,,1,2013.0,0,7,monolith,Центральный,Маяковская,59.926242,30.366488
72.1,26.1,107.4,8,58000000,4,Вторичка Пентхаус,Изолированная,,1 раздельный,Дизайнерский,На улицу и двор,,1,2019.0,0,8,,Центральный,Площадь Восстания,59.927116,30.367916
35.0,10.6,59.0,22,11650000,2,Вторичка,Изолированная,,1 раздельный,Дизайнерский,На улицу и двор,1 балкон,2,2012.0,1,25,monolith,Выборгский,Парнас,60.074074,30.329496
15.0,5.0,25.0,19,5000000,0,Вторичка Апартаменты,,,1 совмещенный,Косметический,На улицу,1 балкон,1,2013.0,1,20,,Приморский,Беговая,60.003007,30.203857
20.5,15.6,53.1,5,13600000,1,Вторичка,,,,Дизайнерский,,,3,2012.0,0,24,monolith,Калининский,Академическая,60.013681,30.388227
14.0,3.0,22.0,4,8999000,1,Вторичка,,,1 совмещенный,Дизайнерский,Во двор,,0,1825.0,0,5,brick,Адмиралтейский,Сенная площадь,59.928816,30.321177
16.0,12.0,36.35,19,14800000,1,Вторичка,,"2,7 м",1 совмещенный,Дизайнерский,Во двор,1 балкон,3,,2,21,,Красногвардейский,Ладожская,59.956832,30.449978
30.2,5.6,46.3,3,6840000,2,Вторичка,Изолированная,"2,5 м",1 раздельный,Косметический,Во двор,1 лоджия,0,1968.0,0,5,panel,Кировский,Проспект Ветеранов,59.831499,30.223521
15.6,8.1,31.0,2,6150000,1,Вторичка,,,1 раздельный,Евроремонт,Во двор,,1,1970.0,0,9,panel,Калининский,Площадь Мужества,59.982694,30.398684
