"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
31.2,37.1,88.6,5,18500000,2,Вторичка,Смежно-изолированная,"2,8 м",,Без ремонта,На улицу,,2,2021.0,0,7,monolithBrick,Выборгский,Черная речка,59.997477,30.328838
17.5,5.5,31.3,4,8120000,1,,,,,,,,0,1962.0,0,5,brick,Василеостровский,Приморская,59.938383,30.240625
56.0,21.0,97.0,10,24000000,3,,,,,,,,1,2006.0,1,17,monolith,Василеостровский,Приморская,59.954773,30.214808
18.0,9.2,40.3,15,11500000,1,Вторичка,,"2,75 м",,Евроремонт,,,1,2012.0,1,19,monolith,Калининский,Академическая,60.011752,30.388434
0.0,0.0,40.4,3,14900000,1,,,,,,,,1,2013.0,0,7,monolith,Центральный,Маяковская,59.926242,30.366488
53.8,6.0,72.7,9,13690000,3,,,,,,,,1,1978.0,0,9,panel,Выборгский,Озерки,60.03487,30.332945
49.7,10.7,80.5,5,15400000,3,,,,,,,,0,2005.0,1,10,panel,Выборгский,Проспект Просвещения,60.060402,30.319407
35.0,10.6,59.0,22,11650000,2,,,,,,,,2,2012.0,1,25,monolith,Выборгский,Парнас,60.074074,30.329496
14.0,3.0,22.0,4,8999000,1,Вторичка,,,1 совмещенный,Дизайнерский,Во двор,,0,1825.0,0,5,brick,Адмиралтейский,Сенная площадь,59.928816,30.321177
46.0,14.0,74.6,5,16500000,3,,,,,,,,1,,0,9,monolithBrick,Курортный,Беговая,60.078055,29.967897
49.5,8.3,72.8,9,13990000,3,,,,,,,,1,1988.0,0,9,panel,Невский,Рыбацкое,59.836378,30.504442
16.0,12.0,36.35,19,14800000,1,,,,,,,,3,,2,21,,Красногвардейский,Ладожская,59.956832,30.449978
51.0,25.0,108.0,6,25000000,3,,,,,,,,1,2012.0,2,24,monolith,Калининский,Академическая,60.013681,30.388227
15.6,8.1,31.0,2,6150000,1,Вторичка,,,1 раздельный,Евроремонт,Во двор,,1,1970.0,0,9,panel,Калининский,Площадь Мужества,59.982694,30.398684
30.2,5.6,46.3,3,6840000,2,,,,,,,,0,1968.0,0,5,panel,Кировский,Проспект Ветеранов,59.831499,30.223521
14.4,11.3,38.3,3,6500000,1,,,,,,,,1,2018.0,1,27,monolithBrick,Выборгский,Парнас,60.081951,30.350543
0.0,8.0,63.0,7,12500000,3,,,,,,,,1,1971.0,0,9,brick,Калининский,Гражданский проспект,60.028793,30.430412
31.1,5.8,51.0,1,8200000,2,,,,,,,,0,1973.0,0,5,,Московский,Московская,59.845442,30.31779
18.0,10.0,33.8,12,7700000,1,,,,,,,,1,2017.0,1,21,monolith,Приморский,Комендантский проспект,60.042415,30.224716
54.0,14.0,100.0,2,32000000,3,,,,,,,,1,2011.0,0,9,monolith,Петроградский,Петроградская,59.972505,30.296653
35.0,12.5,80.9,9,16500000,2,,,,,,,,3,2008.0,0,23,brick,Выборгский,Озерки,60.028227,30.33184
52.0,13.6,88.2,22,31500000,3,,,,,,,,4,2012.0,0,25,monolith,Приморский,Беговая,59.99382,30.194155
0.0,43.5,120.0,2,43900000,4,,,,,,,,2,2020.0,1,13,,Выборгский,Лесная,59.981789,30.355268
35.1,18.6,61.5,4,24000000,1,Вторичка,,,1 совмещенный,Без ремонта,На улицу,,1,2014.0,1,8,monolithBrick,Петроградский,Спортивная,59.955376,30.28873
30.0,30.0,76.0,3,27000000,3,,,,,,,,1,1957.0,0,7,brick,Московский,Московская,59.857305,30.323576
27.4,0.0,47.8,21,9900000,0,,,,,,,,2,2014.0,1,22,monolithBrick,Красносельский,Ленинский проспект,59.861589,30.186475
53.7,16.2,95.1,2,20750000,3,,,,,,,,0,1863.0,0,4,brick,Адмиралтейский,Балтийская,59.910054,30.307765
72.1,26.1,107.4,8,58000000,4,,,,,,,,1,2019.0,0,8,,Центральный,Площадь Восстания,59.927116,30.367916
20.1,4.0,28.5,26,5200000,0,,,,,,,,3,,3,27,monolithBrick,Выборгский,Парнас,60.081951,30.350543
14.8,0.0,14.8,2,3200000,0,,,,,,,,0,1917.0,0,2,brick,Пушкинский,,59.705613,30.404451
14.7,10.1,37.0,14,7350000,1,,,,,,,,2,2014.0,1,24,monolith,Выборгский,Парнас,60.078329,30.342135
43.5,16.0,74.0,7,12400000,2,,,,,,,,1,2004.0,1,15,block,Красносельский,Ленинский проспект,59.85473,30.186601
49.4,7.7,74.0,3,15500000,3,,,,,,,,1,1900.0,0,5,brick,Петроградский,Чкаловская,59.959899,30.290158
33.7,12.1,67.6,8,21280000,2,,,,,,,,1,2022.0,1,11,monolithBrick,Адмиралтейский,Фрунзенская,59.904378,30.308143
64.0,40.0,120.0,2,49900000,3,,,,,,,,1,2019.0,1,8,monolith,Петроградский,Чкаловская,59.965007,30.283798
21.4,10.3,41.2,12,12990000,1,,,,,,,,1,,1,12,monolithBrick,Выборгский,Лесная,59.97857,30.333772
51.7,12.8,83.2,2,24000000,3,,,,,,,,1,2016.0,1,19,monolith,Адмиралтейский,Фрунзенская,59.904189,30.314808
19.5,11.4,40.5,4,13490000,1,,,,,,,,1,2022.0,1,12,monolith,Выборгский,Лесная,59.97857,30.333772
43.5,13.9,82.8,11,21000000,2,,,,,,,,1,2021.0,2,24,monolithBrick,Московский,Московская,59.855331,30.319839
50.0,70.0,185.0,5,148000000,3,,,,,,,,2,2017.0,1,10,monolith,Петроградский,Крестовский остров,59.962719,30.267485
16.0,10.0,36.0,9,5690000,1,,,,,,,,1,2009.0,1,9,panel,Выборгский,Проспект Просвещения,60.10963,30.267233
0.0,0.0,25.1,9,4400000,0,,,,,,,,1,2019.0,1,9,monolith,Петродворцовый,,59.897578,29.765821
72.7,11.0,133.2,3,29900000,4,,,,,,,,0,2012.0,0,5,monolith,Пушкинский,,59.685835,30.436871
0.0,0.0,29.2,9,5400000,1,,,,,,,,1,1971.0,0,9,panel,Невский,Улица Дыбенко,59.911683,30.496645
51.7,18.0,95.0,12,20400000,3,,,,,,,,2,2005.0,0,14,monolith,Московский,Звездная,59.839108,30.350795
0.0,0.0,177.0,12,52000000,4,,,,,,,,2,2008.0,1,25,monolith,Кировский,Проспект Ветеранов,59.851259,30.240338
30.9,6.0,44.7,4,6800000,2,,,,,,,,0,1963.0,0,5,panel,Красногвардейский,Площадь Мужества,59.977634,30.426675
18.0,5.0,27.7,2,11900000,1,,,,,,,,0,1813.0,0,4,brick,Центральный,Чернышевская,59.949222,30.351639
15.1,14.4,41.01,7,12000000,1,,,,,,,,0,2020.0,0,12,,Приморский,Комендантский проспект,60.031656,30.209481
55.4,14.8,92.1,11,21000000,3,,,,,,,,2,2018.0,1,25,,Красносельский,Автово,59.868984,30.155707
28.0,9.0,54.0,1,11700000,2,,,,,,,,0,1871.0,0,5,brick,Центральный,Владимирская,59.926233,30.352627
14.2,8.4,33.2,5,6900000,1,,,,,,,,1,1985.0,1,12,panel,Красногвардейский,Ладожская,59.950366,30.471465
26.1,6.3,45.4,1,7100000,2,,,,,,,,0,1964.0,0,5,panel,Красногвардейский,Ладожская,59.95789,30.426729
15.6,11.2,41.3,23,9900000,1,,,,,,,,1,2014.0,2,25,monolith,Фрунзенский,Проспект Славы,59.856045,30.40269
33.2,13.5,63.0,25,15900000,2,,,,,,,,1,2016.0,2,25,monolith,Фрунзенский,Проспект Славы,59.856329,30.407667
20.2,11.0,41.4,3,8500000,1,,,,,,,,1,1999.0,1,10,panel,Выборгский,Озерки,60.035562,30.334894
17.9,11.9,44.1,8,13690000,1,,,,,,,,2,2017.0,0,14,,Петроградский,Петроградская,59.975648,30.315904
17.5,8.5,33.3,8,7100000,1,,,,,,,,0,,0,9,panel,Невский,Рыбацкое,59.838141,30.506437
0.0,0.0,96.0,4,20700000,2,,,,,,,,1,1880.0,0,6,brick,Центральный,Площадь Восстания,59.934411,30.361565
15.6,6.7,30.0,9,6850000,1,,,,,,,,1,1973.0,0,9,panel,Фрунзенский,Купчино,59.834506,30.388218
15.1,12.0,43.4,10,12800000,1,,,,,,,,1,,1,12,monolith,Приморский,Лесная,59.98507,30.32628
0.0,0.0,67.0,2,12800000,2,,,,,,,,2,2005.0,1,17,monolith,Приморский,Пионерская,60.011477,30.286323
15.5,0.0,21.6,4,4990000,0,,,,,,,,1,1902.0,0,6,brick,Петроградский,Чкаловская,59.959615,30.295782
16.5,5.0,24.0,9,4800000,0,,,,,,,,2,2020.0,1,19,monolith,Приморский,Комендантский проспект,60.033158,30.238514
21.0,6.4,35.4,1,6200000,1,,,,,,,,2,1969.0,0,12,,Московский,Московская,59.843919,30.309571
0.0,0.0,64.8,1,17880500,3,,,,,,,,0,1949.0,0,2,brick,Кировский,Кировский завод,59.875759,30.266649
15.0,5.0,24.0,1,5490000,0,,,,,,,,1,2016.0,1,10,monolith,Красносельский,Проспект Ветеранов,59.851846,30.137705
45.0,29.5,90.8,10,18600000,2,,,,,,,,0,2014.0,1,10,monolith,Красносельский,Автово,59.851819,30.142116
78.0,15.0,112.0,8,23500000,3,,,,,,,,1,2006.0,1,16,brick,Приморский,Удельная,60.029058,30.29403
105.0,12.0,190.0,6,59800000,3,,,,,,,,1,,0,6,brick,Центральный,Чернышевская,59.940844,30.378166
0.0,0.0,75.9,14,15000000,2,,,,,,,,3,2008.0,0,16,monolith,Калининский,Гражданский проспект,60.035836,30.412617
0.0,0.0,34.2,9,12000000,1,,,,,,,,1,,1,12,monolith,Василеостровский,Приморская,59.955967,30.252887
16.0,10.0,39.7,8,8050000,1,,,,,,,,3,2016.0,2,25,monolith,Красносельский,Ленинский проспект,59.870366,30.158986
14.0,16.0,42.0,19,12350000,1,,,,,,,,2,2021.0,1,24,monolithBrick,Московский,Московская,59.853338,30.344605
41.9,8.2,67.3,5,13600000,3,,,,,,,,1,1978.0,1,16,brick,Выборгский,Озерки,60.036411,30.348432
19.4,0.0,29.6,13,7300000,0,,,,,,,,1,2016.0,1,18,monolith,Василеостровский,Приморская,59.940222,30.203866
12.0,2.0,15.0,14,4850000,0,,,,,,,,2,2020.0,1,14,monolith,Выборгский,Лесная,59.982064,30.333628
19.8,9.1,44.0,9,7950000,1,,,,,,,,2,1977.0,1,16,brick,Курортный,Беговая,60.10463,29.974589
44.0,8.0,75.0,8,18100000,3,,,,,,,,1,1985.0,0,9,brick,Московский,Московская,59.849288,30.315545
30.0,25.0,90.0,2,26000000,3,,,,,,,,0,1890.0,0,4,brick,Адмиралтейский,Балтийская,59.91715,30.288892
22.2,10.5,42.3,8,8800000,1,,,,,,,,1,2010.0,1,16,monolithBrick,Невский,Ладожская,59.930651,30.458952
20.0,10.4,40.7,6,7530000,1,,,,,,,,1,1987.0,1,16,panel,Красносельский,Проспект Ветеранов,59.854287,30.219901
30.1,8.5,50.7,13,10300000,2,,,,,,,,1,1981.0,1,14,panel,Выборгский,Озерки,60.045879,30.320216
18.0,9.0,40.2,4,6650000,1,,,,,,,,1,1984.0,0,6,panel,Пушкинский,,59.73482,30.400642
29.0,25.0,72.21,5,25000000,2,,,,,,,,0,,0,15,,Адмиралтейский,Фрунзенская,59.905818,30.315967
60.0,30.0,96.8,15,33000000,3,,,,,,,,2,2019.0,1,15,monolith,Красногвардейский,Ладожская,59.935205,30.433565
14.5,10.1,35.1,9,7299000,1,,,,,,,,0,,0,15,brick,Московский,Звездная,59.814206,30.343958
0.0,0.0,26.0,5,3650000,0,,,,,,,,1,,1,10,monolithBrick,Пушкинский,Купчино,59.757339,30.471618
0.0,0.0,27.0,8,11380000,0,,,,,,,,0,2020.0,0,10,monolith,Центральный,Лиговский проспект,59.920163,30.346123
39.0,15.0,72.5,7,11900000,4,,,,,,,,1,1985.0,0,9,panel,Красногвардейский,Проспект Большевиков,59.942737,30.475571
30.0,9.0,56.3,5,13500000,2,,,,,,,,0,1959.0,0,5,brick,Василеостровский,Приморская,59.939329,30.234041
77.8,12.2,99.7,1,14000000,3,,,,,,,,0,1917.0,0,5,brick,Фрунзенский,Обводный канал,59.913839,30.343635
26.0,14.5,54.4,13,14500000,2,,,,,,,,2,2020.0,2,26,monolith,Приморский,,60.034542,30.226261
0.0,23.6,58.0,3,21000000,2,,,,,,,,1,2016.0,0,9,monolith,Петроградский,Петроградская,59.974387,30.319515
156.0,27.0,217.0,4,30500000,6,,,,,,,,1,1858.0,0,6,brick,Адмиралтейский,Садовая,59.919585,30.306391
17.1,8.8,37.6,5,6650000,1,,,,,,,,0,1992.0,0,10,panel,Невский,Проспект Большевиков,59.921656,30.445199
17.2,9.8,35.7,23,9490000,1,,,,,,,,4,2012.0,0,23,,Калининский,Гражданский проспект,60.039768,30.407505
0.0,0.0,97.0,7,25350000,3,,,,,,,,3,2007.0,1,25,monolith,Приморский,Беговая,59.985003,30.218464
44.0,14.0,76.0,4,9800000,2,,,,,,,,2,2017.0,2,25,monolith,Выборгский,Проспект Просвещения,60.071129,30.237526
16.4,8.8,32.8,7,5800000,1,,,,,,,,1,1970.0,0,9,brick,Кировский,Проспект Ветеранов,59.837336,30.21108
35.1,8.0,56.1,4,13500000,2,,,,,,,,0,1956.0,0,5,stalin,Красногвардейский,Новочеркасская,59.926021,30.412913
22.0,3.0,35.8,5,8900000,1,,,,,,,,0,1912.0,0,7,brick,Адмиралтейский,Балтийская,59.916577,30.289583
17.0,0.0,17.0,1,2950000,0,,,,,,,,0,1916.0,0,4,brick,Центральный,Площадь Восстания,59.934907,30.380107
27.6,16.3,57.3,19,13300000,2,,,,,,,,2,2019.0,2,26,monolithBrick,Фрунзенский,Дунайская,59.834515,30.401846
110.0,80.3,201.0,7,135000000,5,,,,,,,,1,2017.0,0,7,monolith,Петроградский,Крестовский остров,59.971834,30.263559
52.0,15.0,84.0,2,14000000,4,,,,,,,,1,1914.0,0,8,brick,Адмиралтейский,Балтийская,59.922309,30.284014
32.3,6.6,53.0,1,9300000,3,,,,,,,,0,1900.0,0,4,brick,Центральный,Площадь Восстания,59.938432,30.37354
42.0,6.0,62.43,9,8400000,3,,,,,,,,1,1971.0,0,9,panel,Кировский,Проспект Ветеранов,59.828351,30.201396
0.0,0.0,59.8,5,20300000,2,,,,,,,,0,1900.0,0,6,brick,Петроградский,Горьковская,59.957341,30.315131
22.0,7.0,36.0,4,7500000,1,,,,,,,,2,1969.0,2,12,brick,Московский,Московская,59.849225,30.303498
33.0,11.0,70.1,14,14100000,2,,,,,,,,3,2011.0,2,25,brick,Выборгский,Озерки,60.028959,30.330457
0.0,0.0,14.8,2,3000000,0,,,,,,,,1,1896.0,0,7,brick,Центральный,Площадь Александра Невского,59.926409,30.378382
31.6,8.4,50.7,7,7400000,2,,,,,,,,1,1988.0,0,9,panel,Невский,Рыбацкое,59.838792,30.494157
25.6,23.9,66.6,11,16800000,2,,,,,,,,1,2017.0,1,16,monolith,Невский,Проспект Большевиков,59.919852,30.439225
28.0,6.0,43.3,1,7990000,2,,,,,,,,0,1962.0,0,5,brick,Приморский,Пионерская,59.9975,30.319237
67.0,10.0,91.8,5,18000000,3,,,,,,,,0,,0,5,stalin,Выборгский,Лесная,59.9807,30.336026
33.0,8.0,52.5,2,9650000,2,,,,,,,,2,1992.0,0,12,panel,Приморский,Комендантский проспект,60.006098,30.252429
26.9,6.2,43.9,3,6690000,2,,,,,,,,1,1978.0,0,9,panel,Красносельский,Проспект Ветеранов,59.846807,30.209606
37.5,9.6,56.5,7,10750000,2,,,,,,,,2,1970.0,0,12,brick,Выборгский,Удельная,60.020395,30.321662
18.0,0.0,26.74,19,5500000,0,,,,,,,,3,2017.0,1,20,monolith,Приморский,Комендантский проспект,60.039413,30.224294
14.4,11.0,36.3,14,6300000,1,,,,,,,,2,2019.0,1,22,monolithBrick,Невский,Рыбацкое,59.830771,30.534222
22.9,11.2,46.2,1,8750000,1,,,,,,,,0,1982.0,0,4,brick,Калининский,Лесная,59.981235,30.3807
33.7,9.2,61.1,9,11300000,2,,,,,,,,3,2009.0,1,25,monolithBrick,Приморский,Беговая,59.996421,30.214709
24.0,4.0,32.0,6,11900000,1,,,,,,,,4,,4,7,,Центральный,Площадь Александра Невского,59.926684,30.384401
0.0,0.0,41.5,14,10700000,1,,,,,,,,2,2011.0,1,24,monolithBrick,Невский,Улица Дыбенко,59.914628,30.481185
28.5,7.1,45.7,7,7500000,2,,,,,,,,1,1974.0,0,9,,Невский,Проспект Большевиков,59.919617,30.47902
17.9,0.0,24.9,2,6100000,0,,,,,,,,2,2015.0,1,24,monolith,Калининский,Площадь Мужества,59.983734,30.385182
29.0,5.6,43.1,1,7150000,2,,,,,,,,0,1962.0,0,5,brick,Выборгский,Удельная,60.016456,30.329073
27.0,10.0,48.0,2,8400000,2,,,,,,,,1,1970.0,0,9,panel,Невский,Улица Дыбенко,59.902122,30.469453
26.9,10.9,49.9,18,16000000,1,,,,,,,,1,2011.0,1,25,monolithBrick,Московский,Московская,59.853812,30.349699
49.5,11.5,81.7,16,21000000,3,,,,,,,,1,2008.0,1,16,monolithBrick,Калининский,Гражданский проспект,60.028703,30.403121
32.0,10.0,55.0,10,9450000,2,,,,,,,,1,1990.0,1,16,panel,Невский,Рыбацкое,59.839316,30.509096
49.0,9.3,76.0,1,16750000,3,,,,,,,,0,1960.0,0,5,brick,Выборгский,Удельная,60.015466,30.32742
17.0,8.5,32.0,9,6250000,1,,,,,,,,2,2016.0,0,12,monolith,Красносельский,Проспект Ветеранов,59.839054,30.115355
15.9,5.4,27.7,3,11900000,1,,,,,,,,1,1967.0,0,6,brick,Адмиралтейский,Нарвская,59.919464,30.280708
50.0,22.0,79.0,3,34700000,2,,,,,,,,4,2019.0,0,10,monolithBrick,Центральный,Чернышевская,59.939938,30.391246
27.4,6.7,44.3,9,7500000,2,,,,,,,,1,1974.0,0,9,panel,Выборгский,Проспект Просвещения,60.04472,30.358457
31.2,11.6,55.3,13,14990000,2,,,,,,,,2,,1,21,monolith,Московский,Звездная,59.837268,30.35578
17.4,13.9,45.1,12,10950000,1,,,,,,,,2,2016.0,2,24,monolithBrick,Приморский,Комендантский проспект,60.02124,30.277771
18.2,0.0,26.62,6,4390000,0,,,,,,,,2,,2,9,monolithBrick,Красносельский,,59.839488,30.099347
29.0,10.0,44.0,10,10600000,1,,,,,,,,1,2002.0,1,16,monolithBrick,Приморский,Беговая,59.987303,30.219272
0.0,18.0,76.2,21,11500000,3,,,,,,,,2,2017.0,1,25,monolithBrick,Выборгский,Парнас,60.079792,30.348809
23.0,16.0,58.0,11,15500000,2,,,,,,,,2,2014.0,1,24,monolithBrick,Калининский,Выборгская,59.984557,30.392045
51.0,14.0,87.5,10,18800000,3,,,,,,,,1,2006.0,1,17,panel,Выборгский,Озерки,60.041144,30.332694
